ts_event,symbol,side,price,size
2025-07-17T13:46:10.904693578Z,ARL,Bid,13,11
2025-07-17T13:46:10.904693578Z,ARL,Bid,12,3802
2025-07-17T13:46:10.904693578Z,ARL,Bid,11,500
2025-07-17T13:46:10.904693578Z,ARL,Bid,10,200
2025-07-17T13:46:10.904693578Z,ARL,Bid,9,1800
2025-07-17T13:46:10.904693578Z,ARL,Ask,13,22
2025-07-17T13:46:10.904693578Z,ARL,Ask,14,2702
2025-07-17T13:46:10.904693578Z,ARL,Ask,15,1500
2025-07-17T13:46:10.904693578Z,ARL,Ask,16,400
2025-07-17T13:46:10.904693578Z,ARL,Ask,17,1700
2025-07-17T13:46:10.904693578Z,ARL,Ask,18,100
2025-07-17T15:45:07.081407507Z,ARL,Bid,13,202
2025-07-17T15:45:07.081407507Z,ARL,Bid,12,1400
2025-07-17T15:45:07.081407507Z,ARL,Bid,11,100
2025-07-17T15:45:07.081407507Z,ARL,Bid,9,100
2025-07-17T15:45:07.081407507Z,ARL,Ask,14,3602
2025-07-17T15:45:07.081407507Z,ARL,Ask,15,500
2025-07-17T15:45:07.081407507Z,ARL,Ask,17,100
2025-07-17T16:03:10.809541651Z,ARL,Bid,13,302
2025-07-17T16:03:10.809541651Z,ARL,Ask,13,315
2025-07-17T16:03:10.809541651Z,ARL,Ask,14,1402
2025-07-17T16:03:10.809541651Z,ARL,Ask,15,200
2025-07-17T16:03:10.809541651Z,ARL,Ask,16,100
2025-07-17T16:03:10.809541651Z,ARL,Ask,17,100
2025-07-17T16:12:53.023423468Z,ARL,Bid,12,902
2025-07-17T16:12:53.023423468Z,ARL,Ask,13,117
2025-07-17T16:12:53.023423468Z,ARL,Ask,14,3100
2025-07-17T16:12:53.023423468Z,ARL,Ask,15,300
2025-07-17T16:12:53.023423468Z,ARL,Ask,17,100
2025-07-17T16:19:52.002289289Z,ARL,Bid,13,2
2025-07-17T16:19:52.002289289Z,ARL,Bid,12,200
2025-07-17T16:19:52.002289289Z,ARL,Ask,13,217
2025-07-17T16:19:52.002289289Z,ARL,Ask,14,2400
2025-07-17T16:19:52.002289289Z,ARL,Ask,15,200
2025-07-17T16:19:52.002289289Z,ARL,Ask,17,100
2025-07-17T16:33:30.817076178Z,ARL,Bid,12,2
2025-07-17T16:33:30.817076178Z,ARL,Ask,13,2
2025-07-17T16:33:30.817076178Z,ARL,Ask,14,1600
2025-07-17T16:33:30.817076178Z,ARL,Ask,15,400
2025-07-17T16:33:30.817076178Z,ARL,Ask,16,100
2025-07-17T16:33:30.817076178Z,ARL,Ask,17,100
2025-07-17T16:52:45.913742606Z,ARL,Bid,12,202
2025-07-17T16:52:45.913742606Z,ARL,Bid,11,3600
2025-07-17T16:52:45.913742606Z,ARL,Bid,10,200
2025-07-17T16:52:45.913742606Z,ARL,Bid,9,100
2025-07-17T16:52:45.913742606Z,ARL,Ask,13,532
2025-07-17T16:52:45.913742606Z,ARL,Ask,14,3700
2025-07-17T16:52:45.913742606Z,ARL,Ask,15,200
2025-07-17T16:52:45.913742606Z,ARL,Ask,16,100
2025-07-17T19:16:58.049219583Z,ARL,Bid,12,2
2025-07-17T19:16:58.049219583Z,ARL,Bid,11,200
2025-07-17T19:16:58.049219583Z,ARL,Bid,8,100
2025-07-17T19:16:58.049219583Z,ARL,Ask,13,336
2025-07-17T19:16:58.049219583Z,ARL,Ask,14,3100
2025-07-17T19:16:58.049219583Z,ARL,Ask,15,200
2025-07-17T19:16:58.049219583Z,ARL,Ask,16,1700
2025-07-17T19:16:58.049219583Z,ARL,Ask,17,100
2025-07-17T19:41:29.523214481Z,ARL,Bid,12,5
2025-07-17T19:41:29.523214481Z,ARL,Bid,11,200
2025-07-17T19:41:29.523214481Z,ARL,Ask,12,30
2025-07-17T19:41:29.523214481Z,ARL,Ask,13,2581
2025-07-17T19:41:29.523214481Z,ARL,Ask,14,200
2025-07-17T19:41:29.523214481Z,ARL,Ask,16,1800
2025-07-17T20:47:59.252055411Z,ARL,Bid,9,600
2025-07-17T20:47:59.252055411Z,ARL,Ask,17,200
